Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,XOP (τ=14d),187.68,163.92,188.65,169.03,518.94
Whole sample,XOP (τ=28d),120.18,91.63,88.34,109.92,188.07
Whole sample,XOP (τ=56d),59.44,33.43,31.8,101.48,122.31
Moneyness <1,XOP (τ=14d),234.27,204.36,235.35,210.2,547.44
Moneyness <1,XOP (τ=28d),140.94,98.03,102.23,124.84,195.22
Moneyness <1,XOP (τ=56d),63.7,27.69,30.55,121.32,152.33
Moneyness >1,XOP (τ=14d),77.94,56.86,74.7,61.8,464.39
Moneyness >1,XOP (τ=28d),76.38,53.47,45.76,66.05,164.72
Moneyness >1,XOP (τ=56d),52.54,32.66,18.95,68.19,66.37
Moneyness >1.03,XOP (τ=14d),83.06,60.52,77.84,65.8,460.79
Moneyness >1.03,XOP (τ=28d),81.38,56.35,49.15,69.93,166.67
Moneyness >1.03,XOP (τ=56d),54.45,33.25,19.6,68.06,63.68
