Moneyness,Asset,BS,JD,SV,QLBS,RLOP
Whole sample,SPY (τ=14d),164.35,135.95,108.14,112.7,120.33
Whole sample,SPY (τ=28d),127.95,94.9,74.02,92.54,73.43
Whole sample,SPY (τ=56d),92.69,60.61,43.59,78.25,367.03
Moneyness <1,SPY (τ=14d),216.14,167.23,115.74,126.8,103.15
Moneyness <1,SPY (τ=28d),169.37,114.23,75.53,107.61,75.46
Moneyness <1,SPY (τ=56d),124.76,72.59,34.47,91.25,511.95
Moneyness >1,SPY (τ=14d),65.45,76.93,91.02,87.51,131.77
Moneyness >1,SPY (τ=28d),39.65,53.59,59.29,65.22,63.61
Moneyness >1,SPY (τ=56d),38.03,41.85,46.11,62.13,97.16
Moneyness >1.03,SPY (τ=14d),70.27,85.54,102.24,95.0,141.94
Moneyness >1.03,SPY (τ=28d),40.44,59.41,65.79,67.61,61.19
Moneyness >1.03,SPY (τ=56d),40.75,45.59,49.97,61.91,84.94
